Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
06-Mar-23,873.8,876.5,865.6,867.95,871.2563303,165396,7772,144102312,76949,46.52,10.9,-5.85
03-Mar-23,855.05,873,849.85,868.8,865.5323338,177353,5219,153504756,73785,41.6,23.15,13.75
02-Mar-23,854.3,861.85,851,853.95,857.8349047,89942,3357,77155387,38971,43.33,10.85,-0.35
01-Mar-23,861.55,861.9,852,856.05,857.3177026,95709,3624,82053020,31041,32.43,9.9,-5.5
28-Feb-23,856.3,857.85,850.05,854.65,853.4311546,159604,7878,136211026,66312,41.55,7.8,-1.65
27-Feb-23,834,858.45,834,856.4,847.9085371,126390,6235,107167160,39970,31.62,24.45,22.4
24-Feb-23,844,845.4,836,839.65,840.3672339,109418,5910,91951302,37324,34.11,9.4,-4.35
23-Feb-23,834,844,833.55,840.1,838.8698635,112382,5097,94273873,31230,27.79,10.45,6.1
22-Feb-23,847.05,853.3,835.45,838.35,840.7738379,604142,4663,507946788,531542,87.98,17.85,-8.7
21-Feb-23,854,859.45,846.7,854.05,853.4785822,185220,7060,158081303,49869,26.92,12.75,0.05
20-Feb-23,863.4,866.4,850.45,852.1,859.5154404,88728,5994,76263086,38208,43.06,15.95,-11.3
17-Feb-23,869.15,869.15,855.35,862.25,861.3737786,104083,4715,89654367,35299,33.91,13.8,-6.9
16-Feb-23,875.1,877.8,865,869.15,872.4414133,299411,11129,261218556,143490,47.92,12.8,-5.95
15-Feb-23,865.6,873,860.4,870.8,865.4918731,219886,10222,190309546,117053,53.23,12.6,5.2
14-Feb-23,852.75,867,852.75,865.4,859.8172848,261560,5367,224893809,99847,38.17,14.25,12.65
13-Feb-23,852.35,859.05,849.2,850.3,854.0509921,77561,2136,66241049,23155,29.85,9.85,-2.05
10-Feb-23,859,861.9,852.2,853.75,856.2101837,106759,6401,91408143,36260,33.96,9.7,-5.25
09-Feb-23,858,864.65,853.65,860.95,858.8014522,61426,2477,52752738,21627,35.21,11,2.95
08-Feb-23,851.8,860.65,851.8,858.7,856.9476736,78813,3187,67538617,36738,46.61,8.85,6.9
07-Feb-23,853.65,855.85,847.4,851.7,851.8361693,109369,3772,93164470,48816,44.63,8.45,-1.95
06-Feb-23,863.5,867.3,850,853.55,856.2999304,114950,4300,98431677,30086,26.17,17.3,-9.95
03-Feb-23,870,872.7,852.1,863.75,863.295379,182430,5774,157490976,55887,30.63,20.6,-6.25
02-Feb-23,838.95,860.6,826.6,857.45,843.686878,265462,14036,223966806,83175,31.33,34,18.5
01-Feb-23,842.9,875.25,823.55,846.65,858.4157693,8271907,19300,7100735411,7656111,92.56,51.7,3.75
31-Jan-23,825,838.25,814.7,831.65,827.3333036,246535,9527,203966616,142754,57.9,23.55,6.65
30-Jan-23,801.55,826,796.1,823.2,811.9627392,806638,33664,654960000,335308,41.57,29.9,21.65
27-Jan-23,841,841,813.55,817.55,824.5145823,612868,38952,505318603,324776,52.99,27.45,-23.45
25-Jan-23,873,875.9,848.15,855.3,858.3528251,191551,11561,164418342,81409,42.5,27.75,-17.7
24-Jan-23,877.25,881.2,868.05,870.8,874.1895684,107692,6509,94143223,50096,46.52,13.15,-6.45
23-Jan-23,883.9,883.9,865.05,871.55,875.0624711,490627,13993,429329275,148687,30.31,18.85,-12.35
20-Jan-23,873,875.8,865.55,870.4,870.5253509,169087,7818,147194520,67790,40.09,10.25,-2.6
19-Jan-23,869,870.5,862,866.3,866.3126767,68985,3296,59762580,28512,41.33,8.5,-2.7
18-Jan-23,863.6,871.5,858.75,869.45,866.2312761,167380,7357,144989791,71047,42.45,12.75,5.85
17-Jan-23,865.55,867.7,858,865.5,863.2078173,178296,8712,153906501,73189,41.05,9.7,-0.05
16-Jan-23,876.1,877.6,861.75,865.55,869.0923592,92346,5603,80257203,34547,37.41,15.85,-10.55
13-Jan-23,864.25,874.95,858.3,873.25,866.3299389,195515,8360,169380498,83217,42.56,16.65,9
12-Jan-23,864.15,868.1,855,861.2,859.5450937,262276,11404,225438049,96459,36.78,13.1,-2.95
